address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"1302/1 Powlett Street, East Melbourne VIC 3002",2,Apartment / Unit / Flat,12,1795.0,East Melbourne,3,2,359.0
"109/150 Clarendon Street, East Melbourne VIC 3002",2,Apartment / Unit / Flat,12,1595.0,East Melbourne,2,2,398.75
"15 Berry Street, East Melbourne VIC 3002",2,House,13,2600.0,East Melbourne,4,3,371.42857142857144
"8.15/280 Albert Street, East Melbourne VIC 3002",1,Apartment / Unit / Flat,13,1450.0,East Melbourne,2,2,362.5
"21/322 Albert St, East Melbourne VIC 3002",1,Apartment / Unit / Flat,12,1100.0,East Melbourne,2,2,275.0
"602/182 Wellington Parade, East Melbourne VIC 3002",1,Apartment / Unit / Flat,12,1000.0,East Melbourne,2,2,250.0
"38/201 Wellington Parade South, East Melbourne VIC 3002",2,Apartment / Unit / Flat,14,1000.0,East Melbourne,3,2,200.0
"38/400 Victoria Parade, East Melbourne VIC 3002",2,Apartment / Unit / Flat,13,950.0,East Melbourne,3,2,190.0
"40/1 Wellington Crescent, East Melbourne VIC 3002",1,House,14,800.0,East Melbourne,3,1,200.0
"105/140 Gipps Street, East Melbourne VIC 3002",1,Apartment / Unit / Flat,12,780.0,East Melbourne,1,1,390.0
"707V/296 Victoria Parade, East Melbourne VIC 3002",1,Apartment / Unit / Flat,13,725.0,East Melbourne,1,1,362.5
"2/60 Simpson Street, East Melbourne VIC 3002",1,Apartment / Unit / Flat,13,740.0,East Melbourne,2,1,246.66666666666666
"G08W/189 Powlett Street, East Melbourne VIC 3002",1,Apartment / Unit / Flat,13,700.0,East Melbourne,2,2,175.0
"113M/201 Powlett Street, East Melbourne VIC 3002",1,Apartment / Unit / Flat,13,660.0,East Melbourne,2,1,220.0
"2001/23 Batman Street, West Melbourne VIC 3003",2,Apartment / Unit / Flat,9,1350.0,West Melbourne,3,3,225.0
"18/18 Curzon Street, West Melbourne VIC 3003",2,Apartment / Unit / Flat,11,1550.0,West Melbourne,3,2,310.0
"608/10 Wominjeka Walk, West Melbourne VIC 3003",2,Apartment / Unit / Flat,9,1200.0,West Melbourne,3,2,240.0
"Unit 64/1 Wellington Cres, East Melbourne VIC 3002",1,Apartment / Unit / Flat,14,650.0,East Melbourne,2,1,216.66666666666666
"109/166 Wellington Parade, East Melbourne VIC 3002",1,House,12,625.0,East Melbourne,2,1,208.33333333333334
"1501/601 St Kilda Road, Melbourne VIC 3004",3,Apartment / Unit / Flat,11,1700.0,Melbourne,2,2,425.0
